Glottocode,flagging,indexing,tam-split,split-s,indexing-features,dom,dom-trigger,align-noun,align-pro,align-index,align-noun-nl,align-pro-nl,align-index-nl,ref-ergative,ref-ergative-domain,ref-tripartite,ref-tripartite-domain,ref-horizontal,ref-horizontal-domain,ref-sensitive,ref-sensitive-domain,coargument-sensitivity flagging,coargument-sensitivity indexing,S!=A flagging,S!=A indexing
muts1243,True,False,False,False,NA,False,NA,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
naka1260,False,True,False,False,number;number+gender;other;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,overt neutral,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
nama1264,True,True,False,False,person+number,False,NA,accusative;overt neutral,accusative,accusative,accusative;overt neutral,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
nant1250,False,True,False,False,person,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
nara1262,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
natc1249,True,True,False,True,person;person+number,False,NA,ergative,NA,accusative,ergative,NA,accusative,True,Noun;Verb,True,Verb,False,NA,False,NA,no,no,True,True
nava1243,False,True,False,False,person;person+number,False,NA,no marking,accusative,accusative,no marking,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,no,False,False
negi1245,True,True,True,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
nene1249,True,True,False,False,person+number,False,NA,accusative,accusative,sensitive,accusative,accusative,sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
ngar1284,False,True,False,False,number;person+number,False,NA,no marking,no marking,ergative,no marking,no marking,ergative,True,Verb,False,NA,True,Verb,True,Verb,no,yes,False,True
niha1238,True,False,False,False,NA,True,Reference,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
nisg1240,False,True,False,False,person+number,False,NA,no marking,ergative,ergative,no marking,ergative,ergative,True,Pro;Verb,False,NA,False,NA,False,NA,no,no,True,True
niva1238,False,True,False,True,person,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
nort1550,False,True,False,False,person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
nort2745,True,True,False,False,person+number,True,Co-argument_reference,sensitive,accusative,tripartite,accusative,accusative,tripartite,False,NA,True,Verb,False,NA,True,Noun,yes,no,False,True
nort2942,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
nort2951,True,True,False,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
nort2954,True,False,False,False,NA,True,Reference,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
nort2980,True,True,False,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,no,False,False
nucl1302,True,True,True,True,number;person;person+number,True,TAM,accusative,no marking,accusative,accusative,no marking,accusative,True,Noun;Pro,True,Verb,True,Verb,True,Verb,no,yes,True,True
nucl1327,False,True,?,?,?,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
nucl1622,False,True,False,True,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
nucl1632,False,True,True,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
nucl1633,True,True,False,False,number;person;person+number,False,NA,ergative;no marking,ergative;no marking,accusative,ergative;no marking,ergative;no marking,accusative,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
nucl1649,True,True,False,False,person;person+number,True,Miscellaneous_condition+Reference,overt neutral,ergative;tripartite,sensitive,overt neutral,ergative;tripartite,tripartite,True,Noun;Pro,True,Pro,True,Noun,True,Verb,no,yes,True,True
nung1290,False,True,False,False,gender;number;person+number,False,NA,no marking,no marking,tripartite,no marking,no marking,tripartite,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
nuuc1236,True,True,False,False,number;person;person+number,True,Miscellaneous_condition,accusative;no marking,accusative;no marking,sensitive,accusative;no marking,accusative;no marking,overt neutral;sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
ofay1240,False,True,False,True,number;person;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,True,Verb,True,Verb,False,NA,False,NA,no,no,False,True
olut1240,False,True,False,False,person,False,NA,no marking,no marking,sensitive,no marking,no marking,ergative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
otta1242,False,True,?,?,?,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
paez1247,True,True,False,False,person+number,True,Reference,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
pali1279,True,False,False,False,NA,False,NA,no marking,accusative,NA,no marking,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
para1311,True,True,False,True,person+number,True,Reference,accusative,accusative,sensitive,accusative,accusative,accusative,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
pare1272,False,True,False,False,person,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
pech1241,True,True,False,False,person+number,False,NA,accusative;no marking,accusative,accusative,accusative;no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
pila1245,True,True,False,True,person+number,False,NA,no marking,no marking,accusative;tripartite,no marking,no marking,accusative;tripartite,False,NA,True,Verb,False,NA,False,NA,no,no,False,True
pipi1250,False,True,False,False,number;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
pira1253,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
popt1235,False,True,False,False,person+number,False,NA,no marking,no marking,ergative,no marking,no marking,ergative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
puin1248,True,True,False,False,person+number,False,NA,ergative,ergative,accusative;overt neutral,ergative,ergative,accusative;overt neutral,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
pure1242,True,True,False,False,other;person+number,True,Reference,accusative;no marking,accusative,sensitive,accusative;no marking,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
qawa1238,True,True,False,True,person,False,NA,accusative,accusative,no marking;overt neutral,accusative,accusative,no marking;overt neutral,False,NA,True,Pro,True,Pro,False,NA,no,no,True,False
quer1236,False,True,False,False,person,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
quil1240,True,False,False,False,NA,False,NA,no marking,accusative,NA,no marking,accusative,NA,False,NA,False,NA,False,NA,True,Pro,yes,no,False,False
rama1270,True,False,False,False,NA,False,NA,no marking,accusative,NA,no marking,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
rikb1245,True,True,True,False,number;person;person+number,True,TAM,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
roto1249,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,True,Verb,False,NA,False,NA,no,no,False,True
saki1248,False,True,True,False,person+number,False,NA,no marking,no marking,ergative,no marking,no marking,ergative,True,Verb,True,Verb,True,Verb,False,NA,no,no,False,True
sali1253,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
sali1298,False,True,False,True,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
sana1298,False,True,False,False,person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
sand1273,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
sand1278,False,True,False,True,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,True,Verb,False,NA,True,Verb,False,NA,no,no,False,True
sant1432,True,True,False,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
savo1255,True,True,False,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
seri1257,False,True,False,False,person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
shab1252,True,True,False,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
shas1239,False,True,False,False,person,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
shek1245,True,True,False,False,person+number,True,Reference,accusative;no marking,accusative,accusative,accusative;no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
ship1254,True,False,False,False,NA,False,NA,ergative,ergative,NA,ergative,ergative,NA,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
siam1242,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
sier1250,False,True,False,False,person+number,False,NA,no marking,no marking,overt neutral,no marking,no marking,overt neutral,False,NA,False,NA,False,NA,False,NA,no,no,False,False
siks1238,False,True,False,False,other;person;person+number,False,NA,no marking,NA,sensitive,no marking,NA,sensitive,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
sion1247,True,True,False,False,person+number,True,Reference,accusative;no marking,accusative,accusative,accusative;no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
sius1254,True,True,False,False,person;person+number,False,NA,no marking,accusative;tripartite,accusative,no marking,accusative;tripartite,accusative,False,NA,True,Pro,False,NA,True,Verb,no,yes,True,True
sout2750,True,True,False,False,person+number,True,Co-argument_reference+Reference,sensitive,accusative,tripartite,accusative,accusative,tripartite,False,NA,True,Verb,True,Verb,True,Noun;Pro,yes,no,False,True
sout2956,True,False,False,True,NA,False,NA,no marking,accusative,NA,no marking,accusative,NA,True,Pro,False,NA,False,NA,False,NA,no,no,True,False
sout2982,True,False,False,False,NA,False,NA,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
sout2985,True,True,False,False,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
sout2996,True,True,False,False,number;person;person+number,False,NA,accusative,accusative,sensitive,accusative,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
sulk1246,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
sume1241,True,True,True,False,person+number,False,NA,ergative;no marking,ergative;no marking,ergative,ergative;no marking,ergative;no marking,ergative,True,Noun;Pro;Verb,True,Verb,False,NA,False,NA,no,no,True,True
swam1239,False,True,False,False,person;person+number,False,NA,no marking,NA,sensitive,no marking,NA,sensitive,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
tabo1241,True,True,False,False,person+number,True,Miscellaneous_condition,ergative;overt neutral,ergative;overt neutral,accusative;sensitive,ergative;overt neutral,ergative;overt neutral,accusative,True,Noun;Pro,False,NA,False,NA,True,Verb,no,yes,True,True
taia1239,True,True,False,False,person+number,False,NA,ergative;no marking,ergative;no marking,accusative,ergative;no marking,ergative;no marking,accusative,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
take1257,False,True,False,True,person;person+number,False,NA,no marking,no marking,tripartite,no marking,no marking,tripartite,False,NA,True,Verb,True,Verb,True,Verb,no,yes,False,True
tari1256,True,True,False,True,person+number,True,Reference,accusative;no marking,accusative,accusative,accusative;no marking,accusative,accusative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
tehu1242,True,True,False,True,number;person;person+number,False,NA,ergative,ergative,tripartite,ergative,ergative,tripartite,True,Noun;Pro;Verb,True,Verb,True,Verb,False,NA,no,no,True,True
teri1250,True,False,False,False,NA,False,NA,sensitive,accusative,NA,sensitive,accusative,NA,False,NA,False,NA,False,NA,True,Noun,yes,no,True,False
tete1251,False,True,False,False,person;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
thay1249,True,False,False,False,NA,False,NA,accusative;no marking,accusative,NA,accusative;no marking,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
ticu1245,True,True,False,False,person;person+number,True,Reference,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
tido1248,True,True,False,False,person+number,False,NA,no marking,no marking,accusative;no marking,no marking,no marking,accusative;no marking,False,NA,False,NA,False,NA,False,NA,no,no,False,False
timu1245,False,True,False,False,person;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
tiwi1244,False,True,False,False,person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
tlin1245,True,True,False,False,person+number,False,NA,ergative;no marking,ergative;no marking,accusative,ergative;no marking,ergative;no marking,accusative,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
toho1245,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
toll1241,True,True,True,True,person+number,True,Reference,accusative;no marking,accusative,tripartite,accusative;no marking,accusative,tripartite,True,Verb,True,Verb,True,Verb,False,NA,no,no,False,True
tomm1242,True,True,False,False,person+number,True,Reference,accusative;no marking,accusative,accusative,accusative;no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
tonk1249,True,True,False,False,person+number,False,NA,accusative,accusative,horizontal,accusative,accusative,horizontal,True,Verb,True,Verb,True,Verb,False,NA,no,no,False,True
toto1305,False,True,False,True,number;person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,tripartite,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
trin1274,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
trio1238,False,True,False,True,person,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
trum1247,True,False,False,False,NA,False,NA,ergative,ergative,NA,ergative,ergative,NA,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
tuka1248,True,True,False,False,person+number,True,Miscellaneous_condition,accusative;ergative,accusative;ergative,accusative,accusative;ergative,accusative;ergative,accusative,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
tuni1252,False,True,False,True,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
tupi1273,True,True,False,True,person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative,True,Verb,False,NA,False,NA,True,Pro;Verb,yes,yes,False,True
tusc1257,False,True,False,False,number;person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,horizontal,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
tute1247,False,True,False,True,person;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
uppe1439,False,True,True,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,yes,False,False
urar1246,False,True,False,False,number;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
urni1239,False,True,?,?,?,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
wage1238,True,True,False,False,person+number,False,NA,ergative;no marking,ergative;no marking,sensitive,ergative;no marking,ergative;no marking,accusative,True,Noun;Pro,False,NA,False,NA,True,Verb,no,yes,True,False
waim1253,False,True,False,False,person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative,False,NA,True,Verb,True,Verb,True,Verb,no,yes,False,True
wang1291,True,False,False,False,NA,False,NA,ergative,accusative,NA,ergative,accusative,NA,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
wapi1253,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
wapp1239,True,False,False,False,NA,False,NA,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
wara1302,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
wara1303,True,False,False,False,NA,False,NA,no marking,accusative;no marking,NA,no marking,accusative;no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
ward1246,True,True,False,False,number;other;person+number,False,NA,ergative,ergative,overt neutral,ergative,ergative,overt neutral,True,Noun;Pro,False,NA,False,NA,True,Verb,no,yes,True,True
wari1268,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
wash1253,True,True,False,False,person,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative,False,NA,False,NA,False,NA,True,Verb,no,no,False,True
wayu1243,False,True,False,True,person+number,False,NA,no marking,no marking,no marking,no marking,no marking,no marking,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
west2632,False,True,False,True,person,False,NA,no marking,NA,sensitive,no marking,NA,accusative,False,NA,False,NA,True,Verb,True,Verb,no,yes,False,True
wich1260,False,True,False,True,person,False,NA,no marking,NA,accusative,no marking,NA,accusative,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
wich1262,False,True,False,True,person,False,NA,no marking,no marking,tripartite,no marking,no marking,tripartite,True,Verb,True,Verb,False,NA,False,NA,no,no,False,True
wint1259,True,True,False,False,person,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
wiyo1248,False,True,False,False,person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative;sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
wyan1247,False,True,?,?,?,False,NA,no marking,NA,NA,no marking,NA,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
xava1240,False,True,True,False,other;person;person+number;person+other,False,NA,no marking,no marking,ergative,no marking,no marking,ergative,True,Verb,True,Verb,False,NA,True,Verb,no,yes,False,True
xinc1242,False,True,True,False,number;person;person+number,False,NA,no marking,no marking,tripartite,no marking,no marking,tripartite,True,Verb,True,Verb,False,NA,False,NA,no,no,False,True
yagu1244,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yaki1237,True,True,False,False,person;person+number,True,Co-argument_reference+Miscellaneous_condition+Reference,accusative,accusative,sensitive,accusative,accusative,overt neutral,True,Noun,True,Noun,False,NA,True,Noun;Verb,yes,yes,True,True
yana1271,True,True,False,False,person;person+number,False,NA,accusative,no marking,sensitive,accusative,no marking,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
yane1238,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yano1262,True,True,False,False,person+number,False,NA,ergative,ergative,ergative,ergative,ergative,ergative,True,Noun;Pro;Verb,False,NA,False,NA,True,Verb,no,yes,True,True
yaqu1251,True,False,False,False,NA,True,Reference,accusative;no marking,accusative,NA,accusative;no marking,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yaum1237,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yauy1235,True,True,False,False,person;person+number,False,NA,accusative,accusative,sensitive,accusative,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
yecu1235,False,True,False,False,person;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,False
yima1243,False,True,True,False,person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,sensitive,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
yoku1256,True,False,False,False,NA,True,Reference,accusative;overt neutral,accusative,NA,accusative;overt neutral,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yoru1245,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yuca1254,False,True,True,False,person+number,False,NA,no marking,no marking,ergative,no marking,no marking,ergative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
yuch1247,False,True,False,True,person;person+number,False,NA,no marking,no marking,sensitive,no marking,no marking,sensitive,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
yuki1243,True,False,False,True,NA,True,Reference,accusative,accusative,NA,accusative,accusative,NA,True,Noun;Pro,False,NA,True,Noun;Pro,False,NA,no,no,True,False
yukp1241,False,True,False,False,person,False,NA,no marking,no marking,accusative;no marking,no marking,no marking,accusative;no marking,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yura1255,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
yuro1248,True,True,False,False,person+number,False,NA,no marking,no marking,accusative;no marking,no marking,no marking,accusative;no marking,False,NA,False,NA,False,NA,True,Pro,yes,no,False,False
zapa1253,True,False,False,True,NA,False,NA,no marking,accusative,NA,no marking,accusative,NA,True,Pro,False,NA,False,NA,False,NA,no,no,True,False
zuni1245,True,False,False,False,NA,False,NA,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
