Glottocode,flagging,indexing,tam-split,split-s,indexing-features,dom,dom-trigger,align-noun,align-pro,align-index,align-noun-nl,align-pro-nl,align-index-nl,ref-ergative,ref-ergative-domain,ref-tripartite,ref-tripartite-domain,ref-horizontal,ref-horizontal-domain,ref-sensitive,ref-sensitive-domain,coargument-sensitivity flagging,coargument-sensitivity indexing,S!=A flagging,S!=A indexing
hupd1244,True,False,False,False,NA,True,Reference,accusative;no marking,accusative,NA,accusative;no marking,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
ikpe1245,False,True,False,True,person,False,NA,no marking,no marking,sensitive,no marking,no marking,accusative;sensitive,True,Verb,False,NA,False,NA,True,Verb,no,yes,False,True
imba1240,True,True,False,False,person,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
imon1245,True,False,False,True,NA,True,Reference,accusative;no marking,accusative,NA,accusative;no marking,accusative,NA,True,Noun;Pro,False,NA,True,Noun,False,NA,no,no,True,False
ines1240,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
ingu1240,True,True,True,True,gender,False,NA,ergative,ergative,no marking,ergative,ergative,no marking,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
iran1263,False,True,True,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
iris1253,True,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
itel1242,False,True,False,False,number;person;person+number,False,NA,no marking,no marking,tripartite,no marking,no marking,tripartite,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
iton1250,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,yes,False,False
iumi1238,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
jama1261,True,True,False,False,person+number,False,NA,no marking,accusative,accusative,no marking,accusative,accusative,False,NA,False,NA,False,NA,True,Pro,yes,no,False,False
jaqa1244,True,True,False,False,person,False,NA,accusative,accusative,sensitive,accusative,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,no,False,True
juho1239,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
juru1256,True,True,False,False,person+number,True,Miscellaneous_condition,accusative;no marking,accusative,accusative,accusative;no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kain1272,True,False,False,False,NA,False,NA,accusative;no marking,accusative;no marking,NA,accusative;no marking,accusative;no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kala1399,True,True,False,False,person;person+number,True,Reference,ergative,ergative,sensitive,ergative,ergative,sensitive,True,Noun;Pro,True,Noun;Verb,False,NA,True,Verb,no,yes,True,True
kala1400,False,True,True,False,person;person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,yes,False,False
kamb1316,True,True,False,False,person+number,True,Miscellaneous_condition+Reference,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kamu1258,True,True,False,False,person+number,False,NA,ergative;no marking,ergative;no marking,accusative,ergative;no marking,ergative;no marking,accusative,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
kana1291,True,False,False,False,NA,False,NA,ergative,ergative,NA,ergative,ergative,NA,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
kano1245,False,True,?,?,?,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kara1500,True,True,False,False,person,False,NA,no marking,accusative,accusative,no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kari1254,True,True,?,?,?,False,NA,no marking,ergative,NA,no marking,ergative,NA,True,Pro,False,NA,False,NA,False,NA,no,no,True,False
kari1311,False,True,False,False,person;person+number,False,NA,no marking,no marking,ergative,no marking,no marking,ergative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
karo1304,True,True,False,True,person+number,False,NA,ergative;no marking,ergative;no marking,sensitive,ergative;no marking,ergative;no marking,accusative,True,Noun;Pro,False,NA,False,NA,True,Verb,no,yes,True,True
karo1305,True,False,False,False,NA,False,NA,no marking,ergative,NA,no marking,ergative,NA,True,Pro,False,NA,False,NA,False,NA,no,no,True,False
kash1280,True,False,False,True,NA,True,Miscellaneous_condition,accusative;no marking,accusative,NA,accusative;no marking,accusative,NA,True,Noun;Pro,False,NA,True,Noun,False,NA,no,no,True,False
kaya1319,True,False,False,False,NA,False,NA,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kenu1243,True,True,False,False,number;person;person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kett1243,False,True,False,True,person;person+number,False,NA,no marking,no marking,tripartite,no marking,no marking,tripartite,True,Verb,True,Verb,True,Verb,False,NA,no,no,False,True
kich1262,False,True,False,False,person+number,False,NA,no marking,no marking,ergative,no marking,no marking,ergative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
kiow1266,False,True,False,True,number;person;person+number,False,NA,no marking,no marking,no marking,no marking,no marking,no marking,True,Verb,True,Verb,False,NA,True,Verb,no,yes,False,True
kitj1240,False,True,False,False,number;person;person+number,False,NA,no marking,no marking,tripartite,no marking,no marking,tripartite,False,NA,True,Verb,False,NA,True,Verb,no,yes,False,True
klam1254,True,False,False,False,NA,True,Reference,accusative;no marking,accusative,NA,accusative;no marking,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
koas1236,True,True,False,True,person+number,False,NA,accusative,accusative,accusative,accusative,accusative,accusative,True,Verb,False,NA,False,NA,False,NA,no,no,False,True
koyr1242,True,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kren1239,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kron1241,False,True,False,False,number;person+number,False,NA,no marking,no marking,no marking,no marking,no marking,no marking,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kuik1246,True,False,False,False,NA,False,NA,ergative,ergative,NA,ergative,ergative,NA,True,Noun;Pro,False,NA,False,NA,False,NA,no,no,True,False
kuna1268,True,True,False,False,person+number,True,Miscellaneous_condition,accusative;no marking,accusative,sensitive,accusative;no marking,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
kuot1243,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kusu1250,True,True,False,False,person,True,Reference,accusative;no marking,accusative,tripartite,accusative;no marking,accusative,tripartite,False,NA,True,Verb,False,NA,False,NA,no,no,False,True
kute1249,False,True,False,False,person;person+number,False,NA,no marking,NA,sensitive,no marking,NA,sensitive,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
kwak1269,True,False,False,False,NA,False,NA,accusative,accusative,NA,accusative,accusative,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
kwaz1243,True,True,False,False,person;person+number,True,Miscellaneous_condition+Reference,no marking,accusative,accusative,no marking,accusative,accusative,False,NA,False,NA,False,NA,True,Verb,no,yes,False,True
kyon1247,True,False,False,False,NA,True,Miscellaneous_condition,accusative;no marking,accusative;no marking,NA,accusative;no marking,accusative;no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
laal1242,True,True,False,False,person+number,False,NA,no marking,accusative,accusative,no marking,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
lake1258,True,True,False,False,person+number,True,Co-argument_reference+Miscellaneous_condition,accusative,accusative,accusative;no marking,accusative,accusative,accusative;no marking,False,NA,False,NA,False,NA,True,Pro,yes,no,False,False
lako1247,False,True,False,True,number;person;person+number,False,NA,no marking,no marking,accusative;no marking,no marking,no marking,accusative,True,Verb,False,NA,False,NA,True,Verb,no,no,False,True
lako1248,False,True,False,False,person+number,False,NA,no marking,no marking,overt neutral,no marking,no marking,overt neutral,False,NA,False,NA,False,NA,False,NA,no,no,False,False
lang1324,False,True,True,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
laoo1244,False,False,False,False,NA,False,NA,no marking,no marking,NA,no marking,no marking,NA,False,NA,False,NA,False,NA,False,NA,no,no,False,False
lavu1241,False,True,False,False,person+number,False,NA,no marking,no marking,accusative,no marking,no marking,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
leco1242,True,True,False,False,person+number,True,Reference,accusative,accusative,accusative,accusative,accusative,accusative,False,NA,False,NA,False,NA,False,NA,no,no,False,False
