Glottocode,Name,Macroarea,Latitude,Longitude,ISO639P3code,Family,sufficient_data_flagging,sufficient_data_indexing,Comment
pare1272,Parecís,South America,-14.5929,-57.4059,pab,Arawakan,True,True,
swam1239,Swampy Cree,North America,56.0,-95.0,csw,Algic,True,True,
lako1247,Lakota,North America,46.3699,-103.95,lkt,Siouan,True,True,
hupa1239,Hupa-Chilula,North America,41.0982,-123.68,hup,Athabaskan-Eyak-Tlingit,True,True,
sion1247,Siona-Tetete,South America,0.31733,-76.0237,snn,Tucanoan,True,True,
guan1269,Kotiria,South America,1.07554,-69.5705,gvc,Tucanoan,True,True,
mats1244,Matsés,South America,-5.73914,-72.6281,mcf,Pano-Tacanan,True,True,no pronouns are used for 3rd person in any of the S/A/P roles
lang1324,Lango (Uganda),Africa,2.13867,33.0553,laj,Nilotic,True,True,
kain1272,Kaingang,South America,-27.7671,-52.5394,kgp,Nuclear-Macro-Je,True,True,
halh1238,Halh Mongolian,Eurasia,48.32397,106.28874,khk,Mongolic-Khitan,True,True,
dukh1234,Dukha,Eurasia,51.9307,98.9318,,Turkic,True,True,
kich1262,K'iche',North America,14.5278,-91.1696,quc,Mayan,True,True,
chol1282,Chol,North America,17.4897,-92.4698,ctu,Mayan,True,True,
popt1235,Popti',North America,15.6609,-91.6633,jac,Mayan,True,True,
tete1251,Tetelcingo Nahuatl,North America,18.8854,-98.893,nhg,Uto-Aztecan,True,True,
pipi1250,Pipil,North America,13.8931,-89.443,ppl,Uto-Aztecan,True,True,
nant1250,Nanti,South America,-12.1018,-72.3507,cox,Arawakan,True,True,
otta1242,Ottawa,North America,44.5988,-83.226,otw,Algic,True,False,description insufficient to produce a report for indexing 
nava1243,Navajo,North America,36.33,-109.38,nav,Athabaskan-Eyak-Tlingit,True,True,no pronouns are used for P
nort2942,North Slavey,North America,63.5,-125.67,scs,Athabaskan-Eyak-Tlingit,True,True,
mali1285,Malinaltepec Me'phaa,North America,17.2122,-98.6322,tcf,Otomanguean,True,True,
ship1254,Shipibo-Conibo,South America,-7.17105,-74.8219,shp,Pano-Tacanan,True,True,
galo1242,Galo,Eurasia,27.9805586,94.6884956,adl,Sino-Tibetan,True,True,
cane1242,Canela-Krahô,South America,-6.10712,-45.1299,ram,Nuclear-Macro-Je,True,True,
bulo1242,Bulo Stieng,Eurasia,11.9777,106.798,sti,Austroasiatic,True,True,
tupi1273,Tupinambá,South America,-22.807778,-42.106389,tpn,Tupian,True,True,
kamb1316,Kambaata,Africa,7.37582,37.9088,ktb,Afro-Asiatic,True,True,
male1292,Malecite-Passamaquoddy,North America,45.494475,-67.40805,pqm,Algic,True,True,"This language does not allow inanimate>inanimate scenarios. Our machinery has no way of noting that a particular scenario is impossible, so this context has simply not been encoded."
quer1236,Querétaro Otomi,North America,20.1396,-100.115,otq,Otomanguean,True,True,
emer1243,Teko,South America,3.23694,-52.3699,eme,Tupian,True,True,
coca1259,Cocama-Cocamilla,South America,-4.5,-74.0,cod,Tupian,True,True,
iris1253,Irish,Eurasia,53.2186,-7.61509,gle,Indo-European,True,True,
magd1235,Magdalena Peñasco Mixtec,North America,17.2837,-97.5413,xtm,Otomanguean,True,True,
para1311,Paraguayan Guaraní,South America,-25.60551,-57.08816,gug,Tupian,True,True,
bamb1269,Bambara,Africa,12.9,-7.65,bam,Mande,True,True,
mezo1235,Mezontla Popoloca,North America,18.1442,-97.5879,pbe,Otomanguean,True,True,
sier1250,Sierra de Juárez Zapotec,North America,17.4219,-96.6191,zaa,Otomanguean,True,True,
tuka1248,Tukang Besi North,Papunesia,-5.30994,123.578,khc,Austronesian,True,True,
laoo1244,Lao,Eurasia,19.0,102.46,lao,Tai-Kadai,True,True,
yoru1245,Yoruba,Africa,7.15345,3.67225,yor,Atlantic-Congo,True,True,
