ID,Glottocode,Selector_type,Selector_label,Marker_type,Features,Source,Coder,S_references,A_references,P_references,Alignment
tiwi1244-pi-3pls-a-indexing-marker,tiwi1244,indexing marker,pi- 3plS/A,overt,person+number,lee1987tiwi[73];osborne1970tiwi[38],HT;AWM,3pl,3pl_1du.incl;3pl_1pl.excl;3pl_1pl.incl;3pl_1sg;3pl_2pl;3pl_2sg;3pl_3pl;3pl_3sg_fem378;3pl_3sg_masc378,NONE,accusative
tiwi1244-wuni-3plp-indexing-marker,tiwi1244,indexing marker,wuni- 3plP,overt,person+number,lee1987tiwi[73];osborne1970tiwi[38],HT;AWM,NONE,NONE,3pl_1du.incl;3pl_1pl.excl;3pl_1pl.incl;3pl_1sg;3pl_2pl;3pl_2sg;3pl_3pl;3pl_3sg_fem378;3pl_3sg_masc378,accusative
tiwi1244-yi-3sg-ms-a-indexing-marker,tiwi1244,indexing marker,yi- 3sg.mS/A,overt,person+number,lee1987tiwi[73];osborne1970tiwi[38],HT;AWM,3sg_masc378,3sg_masc378_1du.incl;3sg_masc378_1pl.excl;3sg_masc378_1pl.incl;3sg_masc378_1sg;3sg_masc378_2pl;3sg_masc378_2sg;3sg_masc378_3pl,3sg_masc378_3sg_fem378;3sg_masc378_3sg_masc378,neutral
tlin1245-erg-ins-ch-flagging,tlin1245,flagging,ERG/INS -ch,overt,,"leer1991tlingit[25,58]",AWM,NONE,any,NONE,ergative
tlin1245-no-flagging,tlin1245,flagging,NO_FLAGGING,zero,,"leer1991tlingit[25,58]",AWM,any,any,any,neutral
tlin1245-null-marker,tlin1245,indexing marker,NULL_MARKER,zero,NA,"leer1991tlingit[58,crippen2010tlingit]",AWM,3pl;3sg,3pl;3sg,3pl-low-indef;3sg-low-indef,neutral
tlin1245-p-1pl-h-a-indexing-marker,tlin1245,indexing marker,P 1pl h-a,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,NONE,NONE,1pl,accusative
tlin1245-p-1sg-xad-indexing-marker,tlin1245,indexing marker,P 1sg xad-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,NONE,NONE,1sg,accusative
tlin1245-p-2pl-yi-indexing-marker,tlin1245,indexing marker,P 2pl ÿi-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,NONE,NONE,2pl,accusative
tlin1245-p-2sg-i-indexing-marker,tlin1245,indexing marker,P 2sg ʔi-,overt,person+number,"leer1991tlingit[58,crippen2010tlingit]",AWM,NONE,NONE,2sg,accusative
