ID,Glottocode,Selector_type,Selector_label,Marker_type,Features,Source,Coder,S_references,A_references,P_references,Alignment
halk1245-indexing-c-n-1sgs-a-clitic-indexing-marker,halk1245,indexing marker,indexing cən '1sgS/A' (clitic),overt,person+number,suttles2004musqueam[351-357],AWM,1sg,1sg_2pl;1sg_2sg;1sg_3pl-high;1sg_3pl-low;1sg_3sg-high;1sg_3sg-low,NONE,accusative
halk1245-indexing-ce-p-2pls-a-clitic-indexing-marker,halk1245,indexing marker,indexing ceˑp '2plS/A' (clitic),overt,person+number,suttles2004musqueam[368],AWM,2pl,2pl_1pl;2pl_1sg;2pl_3pl-high;2pl_3pl-low;2pl_3sg-high;2pl_3sg-low,NONE,accusative
halk1245-indexing-ct-1pls-a-clitic-indexing-marker,halk1245,indexing marker,indexing ct '1plS/A' (clitic),overt,person+number,suttles2004musqueam[365-368],AWM,1pl,1pl_2pl;1pl_2sg;1pl_3pl-high;1pl_3pl-low;1pl_3sg-high;1pl_3sg-low,NONE,accusative
halk1245-indexing-cxw-2sgs-a-clitic-indexing-marker,halk1245,indexing marker,indexing čxʷ '2sgS/A' (clitic),overt,person+number,suttles2004musqueam[358-364],AWM,2sg,2sg_1pl;2sg_1sg;2sg_3pl-high;2sg_3pl-low;2sg_3sg-high;2sg_3sg-low,NONE,accusative
halk1245-indexing-s-3a-indexing-marker,halk1245,indexing marker,indexing -əs '3A',overt,person,suttles2004musqueam[321-332],AWM,NONE,3pl-high_1pl;3pl-high_1sg;3pl-high_3pl-low;3pl-high_3sg-low;3pl-low_1pl;3pl-low_1sg;3sg-high_1pl;3sg-high_1sg;3sg-high_3pl-low;3sg-high_3sg-low;3sg-low_1pl;3sg-low_1sg,NONE,ergative
halk1245-indexing-s-sam-am-2sgp-indexing-marker,halk1245,indexing marker,indexing -S/-Samə/-amə '2sgP',overt,person+number,suttles2004musqueam[339-344],AWM,NONE,NONE,2sg_1pl;2sg_1sg;2sg_3pl-high;2sg_3pl-low;2sg_3sg-high;2sg_3sg-low,accusative
halk1245-indexing-s-samx-amx-1sgp-indexing-marker,halk1245,indexing marker,indexing -S/-Samx/-amx '1sgP',overt,person+number,suttles2004musqueam[333-338],AWM,NONE,NONE,1sg_2pl;1sg_2sg;1sg_3pl-high;1sg_3pl-low;1sg_3sg-high;1sg_3sg-low,accusative
halk1245-no-flagging,halk1245,flagging,NO_FLAGGING,zero,,gerdts2010ditransitive[1-15];suttles2004musqueam[321],AWM,any,any,any,neutral
hatt1246-a-3-indexing-marker,hatt1246,indexing marker,a- 3,overt,person,girbal1986betraege[172-173];soysal2004hattischer[187-195],DI,NONE,3,NONE,ergative
hatt1246-ai-e-i-1pl-indexing-marker,hatt1246,indexing marker,ai-/e-/i- 1pl,overt,person+number,girbal1986betraege[172-173];soysal2004hattischer[187-195],DI,1pl,1pl,NONE,accusative
hatt1246-no-flagging,hatt1246,flagging,NO_FLAGGING,zero,,girbal1986betraege[137-139];soysal2004hattischer[184-185],DI,Noun,Noun,Noun,neutral
hatt1246-null-marker,hatt1246,indexing marker,NULL_MARKER,zero,person,girbal1986betraege[172-173];soysal2004hattischer[187-195],DI,3,NONE,NONE,horizontal
hatt1246-s-case-flagging,hatt1246,flagging,-š case,overt,,girbal1986betraege[137-139];soysal2004hattischer[184-185],DI,NONE,NONE,Noun,accusative
hatt1246-u-un-2sg-indexing-marker,hatt1246,indexing marker,u-/un- 2sg,overt,person+number,girbal1986betraege[172-173];soysal2004hattischer[187-195],DI,2sg,2sg,NONE,accusative
hatt1246-unknown-morpheme-2pl-indexing-marker,hatt1246,indexing marker,unknown morpheme 2pl,overt,person+number,girbal1986betraege[172-173];soysal2004hattischer[187-195],DI,2pl,2pl,NONE,accusative
hatt1246-wa-1sg-indexing-marker,hatt1246,indexing marker,wa- 1sg,overt,person+number,girbal1986betraege[172-173];soysal2004hattischer[187-195],DI,1sg,1sg,NONE,accusative
hida1246-erg-case-flagging,hida1246,flagging,ERG case,overt,,"park2012hidatsa[379,412]",AWM,NONE,any,NONE,ergative
hida1246-maa-ma-m-waa-1a-sact-indexing-marker,hida1246,indexing marker,maa-/ma-/m- (waa-) 1A/Sact,overt,person,"park2012hidatsa[213,69-86]",AWM,1pl;1sg,1pl;1sg,NONE,accusative
hida1246-mii-1p-sstat-indexing-marker,hida1246,indexing marker,mii- 1P/Sstat,overt,person,"park2012hidatsa[213,69-86]",AWM,1pl;1sg,NONE,1pl;1sg,ergative
hida1246-naa-na-n-ra-2a-sact-indexing-marker,hida1246,indexing marker,náà- / ná- / n ́- (rá-) 2A/Sact,overt,person,"park2012hidatsa[213,69-86]",AWM,2pl;2sg,2pl;2sg,NONE,accusative
hida1246-nii-2p-ssta-indexing-marker,hida1246,indexing marker,nii- 2P/Ssta,overt,person,"park2012hidatsa[213,69-86]",AWM,2pl;2sg,NONE,2pl;2sg,ergative
hida1246-no-flagging,hida1246,flagging,NO_FLAGGING,zero,,"park2012hidatsa[379,412]",AWM,any,any,any,neutral
high1242-no-flagging,high1242,flagging,NO_FLAGGING,zero,,turner1966highlandchontal[30-110],HT,any,any,any,neutral
high1242-p-affixes-indexing-marker,high1242,indexing marker,P affixes,overt,person+number,turner1966highlandchontal[47-65],MV; DI; AWM,NONE,NONE,any,accusative
high1242-s-a-prefixes-indexing-marker,high1242,indexing marker,S/A prefixes,overt,person+number,turner1966highlandchontal[47-65],MV; DI; AWM,any,any,NONE,accusative
high1276-1excl-abs-a-indexing-marker,high1276,indexing marker,1excl abs ʔa-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,1excl,NONE,1excl_3,ergative
high1276-1excl-an-indexing-marker,high1276,indexing marker,1excl ʔan-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,NONE,NONE,1excl_2,accusative
high1276-1excl-erg-an-indexing-marker,high1276,indexing marker,1excl erg ʔan-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,NONE,1excl_3,NONE,ergative
high1276-1incl-abs-ta-indexing-marker,high1276,indexing marker,1incl abs ta-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,1incl,NONE,1incl_3,ergative
high1276-1incl-erg-tan-indexing-marker,high1276,indexing marker,1incl erg tan-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,NONE,1incl,NONE,ergative
high1276-2-abs-mi-indexing-marker,high1276,indexing marker,2 abs mi-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,2,NONE,2_3,ergative
high1276-2-erg-in-indexing-marker,high1276,indexing marker,2 erg ʔin-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,NONE,2_3,NONE,ergative
high1276-3-erg-i-indexing-marker,high1276,indexing marker,3 erg ʔi-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,NONE,3_3,NONE,ergative
high1276-no-flagging,high1276,flagging,NO_FLAGGING,zero,,"boudreault2009popoluca[155,179]",HT,any,any,any,neutral
high1276-null-marker,high1276,indexing marker,NULL_MARKER,zero,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,3,2_1excl;3_1excl;3_1incl;3_2,3,neutral
high1276-portmanteau-man-indexing-marker,high1276,indexing marker,portmanteau man-,overt,person,"boudreault2009popoluca[395-401,405-406,408,418-419]",MV; DI; AWM,NONE,1excl_2,2_1excl,horizontal
hixk1239-i-w-1sga-3p-indexing-marker,hixk1239,indexing marker,ï-/w- 1sgA(>3P),overt,person+number,"derbyshire1979syntax[127,151,86-87]",HT;AWM,NONE,1sg_3pl;1sg_3sg,NONE,ergative
hixk1239-ki-1sgs-a-indexing-marker,hixk1239,indexing marker,kï- 1sgS/A,overt,person+number,"derbyshire1979syntax[127,151,86-87]",HT;AWM,1sg,1sg_2pl;1sg_2sg,1pl.incl_3pl;1pl.incl_3sg,neutral
hixk1239-mi-2a-1sg-3-indexing-marker,hixk1239,indexing marker,"mï- 2A(>1sg, 3)",overt,person,"derbyshire1979syntax[127,151,86-87]",HT;AWM,NONE,2pl_1sg;2pl_3pl;2pl_3sg;2sg_1sg;2sg_3pl;2sg_3sg,NONE,ergative
hixk1239-ni-1-1excl-s-a-indexing-marker,hixk1239,indexing marker,nï-(1) 1excl.S/A,overt,person,"derbyshire1979syntax[127,151,86-87]",HT;AWM,1pl.excl,1pl.excl_3pl;1pl.excl_3sg,NONE,accusative
hixk1239-ni-2-3s-a-indexing-marker,hixk1239,indexing marker,nï-(2) 3S/A,overt,person,"derbyshire1979syntax[127,151,86-87]",HT;AWM,3pl;3sg,3pl_3pl;3pl_3sg;3sg_3pl;3sg_3sg,NONE,accusative
hixk1239-no-flagging,hixk1239,flagging,NO_FLAGGING,zero,,"derbyshire1979syntax[127,151,86-87]",HT,any,any,any,neutral
hixk1239-o-2s-p-indexing-marker,hixk1239,indexing marker,o- 2S/P,overt,person,"derbyshire1979syntax[127,151,86-87]",HT;AWM,2pl;2sg,NONE,2pl_1pl.excl;2pl_3pl;2pl_3sg;2sg_1pl.excl;2sg_3pl;2sg_3sg,ergative
hixk1239-ro-3a-1p-portm-indexing-marker,hixk1239,indexing marker,ro- 3A>1P (portm.),overt,person,"derbyshire1979syntax[127,151,86-87]",HT;AWM,NONE,3pl_1sg;3sg_1sg,1sg_3pl;1sg_3sg,horizontal
hixk1239-ti-1incl-s-a-indexing-marker,hixk1239,indexing marker,tï- 1incl.S/A,overt,person,"derbyshire1979syntax[127,151,86-87]",HT;AWM,1pl.incl,1pl.incl_3pl;1pl.incl_3sg,NONE,accusative
hopi1249-no-flagging,hopi1249,flagging,NO_FLAGGING,zero,,"jeanne1978hopi[101,106,109,76,93]",HT,any,any,NONE,accusative
hopi1249-obl-marking-flagging,hopi1249,flagging,OBL marking,overt,,"jeanne1978hopi[101,106,109,76,93]",HT,NONE,NONE,any,accusative
hopi1249-role-not-marked,hopi1249,indexing trigger,ROLE_NOT_MARKED,zero,NA,"jeanne1978hopi[85-88,93-97]",HT;AWM;DI;MV,NONE,NONE,NONE,NA
hual1241-1-2-marker-indexing-marker,hual1241,indexing marker,1>2 marker,overt,person,"weber1989huallagagrammar[70,79,96-111]",MV; DI; AWM,NONE,1_2,2_1,horizontal
hual1241-1incl-marker-indexing-marker,hual1241,indexing marker,1INCL marker,overt,person,"weber1989huallagagrammar[70,79,96-111]",MV; DI; AWM,1incl,1incl,1incl_3,neutral
hual1241-1st-p-marker-ma-indexing-marker,hual1241,indexing marker,1st P marker -ma-,overt,person,"weber1989huallagagrammar[70,79,96-111]",MV; DI; AWM,NONE,NONE,1;1incl,accusative
hual1241-1st-s-a-marker-indexing-marker,hual1241,indexing marker,1st S/A marker,overt,person,"weber1989huallagagrammar[70,79,96-111]",MV; DI; AWM,1,1_3,NONE,accusative
hual1241-2nd-marker-indexing-marker,hual1241,indexing marker,2nd marker,overt,person,"weber1989huallagagrammar[70,79,96-111]",MV; DI; AWM,2,2,2_3,neutral
hual1241-3-2-marker-indexing-marker,hual1241,indexing marker,3>2 marker,overt,person,"weber1989huallagagrammar[70,79,96-111]",MV; DI; AWM,NONE,3_2,NONE,ergative
hual1241-3rd-s-a-marker-indexing-marker,hual1241,indexing marker,3rd S/A marker,overt,person,"weber1989huallagagrammar[70,79,96-111]",MV; DI; AWM,3,3_1;3_3,NONE,accusative
hual1241-acc-ta-flagging,hual1241,flagging,ACC =ta,overt,,weber1989huallagagrammar[178-179],DI,NONE,NONE,any,accusative
hual1241-no-flagging,hual1241,flagging,NO_FLAGGING,zero,,weber1989huallagagrammar[178-179],DI,any,any,NONE,accusative
huas1242-a-cik-indexing-marker,huas1242,indexing marker,ʔa= … cik,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,NONE,2pl_3pl;2pl_3sg,NONE,ergative
huas1242-a-indexing-marker,huas1242,indexing marker,ʔa=,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,NONE,2sg_3pl;2sg_3sg,NONE,ergative
huas1242-i-indexing-marker,huas1242,indexing marker,ʔi=,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,NONE,1pl_3pl;1pl_3sg,NONE,ergative
huas1242-in-cik-indexing-marker,huas1242,indexing marker,ʔin= … cik,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,NONE,3pl_3pl;3pl_3sg,NONE,ergative
huas1242-in-indexing-marker,huas1242,indexing marker,ʔin=,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,1sg,3sg_3pl;3sg_3sg,NONE,accusative
huas1242-it-cik-indexing-marker,huas1242,indexing marker,ʔit= … cik,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,2pl,NONE,NONE,horizontal
huas1242-it-indexing-marker,huas1242,indexing marker,ʔit=,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,2sg,NONE,NONE,horizontal
huas1242-no-flagging,huas1242,flagging,NO_FLAGGING,zero,,edmonson1988huastec,HT;AWM,any,any,any,neutral
huas1242-ti-3a-2p-indexing-marker,huas1242,indexing marker,ti= 3A>2P,overt,person,edmonson1988huastec[114-115],MV; DI; AWM,NONE,3pl_2pl;3pl_2sg;3sg_2pl;3sg_2sg,2pl_3pl;2pl_3sg;2sg_3pl;2sg_3sg,horizontal
huas1242-tin-2a-1sgp-3a-1sgp-indexing-marker,huas1242,indexing marker,"tin= 2A>1sgP, 3A>1sgP",overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,NONE,NONE,1sg,accusative
huas1242-tu-1plp-1a-2p-2a-1plp-indexing-marker,huas1242,indexing marker,"tu= 1plP, 1A>2P, 2A>1plP",overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,NONE,1pl_2pl;1pl_2sg;1sg_2pl;1sg_2sg,1pl;2pl_1pl;2pl_1sg;2sg_1pl;2sg_1sg,horizontal
huas1242-u-indexing-marker,huas1242,indexing marker,ʔu=,overt,person+number,edmonson1988huastec[114-115],MV; DI; AWM,1pl,1sg_3pl;1sg_3sg,NONE,accusative
hueh1236-k-1-excl-s-a-indexing-marker,hueh1236,indexing marker,k- 1.excl S/A,overt,person,kung2007tepehua[174-214],HT; DI,1pl.excl;1sg,1pl.excl;1sg,NONE,accusative
hueh1236-ki-kin-1p-indexing-marker,hueh1236,indexing marker,ki-/kin- 1P,overt,person,kung2007tepehua[174-214],HT; DI,NONE,NONE,1pl.excl;1pl.incl;1sg,accusative
hueh1236-laa-1-2-2-1-not-all-sg-indexing-marker,hueh1236,indexing marker,laa- 1>2 / 2>1 not all sg,overt,person+number,kung2007tepehua[174-214],HT; DI,NONE,1pl.excl_2pl;1pl.excl_2sg;1sg_2pl;2pl_1pl.excl;2pl_1sg;2sg_1pl.excl,1pl.excl_2pl;1pl.excl_2sg;1sg_2pl;2pl_1pl.excl;2pl_1sg;2sg_1pl.excl,horizontal
hueh1236-lak-3pl-s-p-indexing-marker,hueh1236,indexing marker,lak- 3pl S/P,overt,person+number,kung2007tepehua[174-214],HT; DI,3pl.inanim,NONE,3pl.anim;3pl.inanim,ergative
hueh1236-n-1nonsgp-2p-indexing-marker,hueh1236,indexing marker,-n 1nonsgP / 2P,overt,person+number,kung2007tepehua[174-214],HT; DI,NONE,NONE,1pl.excl_3pl.anim;1pl.excl_3pl.inanim;1pl.excl_3sg;1pl.incl;2pl_3pl.anim;2pl_3pl.inanim;2pl_3sg;2sg_1sg;2sg_3pl.anim;2sg_3pl.inanim;2sg_3sg,accusative
hueh1236-no-flagging,hueh1236,flagging,NO_FLAGGING,zero,,"kung2007tepehua[174,395,397-398]",HT,any,any,any,neutral
hueh1236-t-it-2pl-s-a-indexing-marker,hueh1236,indexing marker,-t'it 2pl S/A,overt,person+number,kung2007tepehua[174-214],HT; DI,2pl,2pl_3pl.anim;2pl_3pl.inanim;2pl_3sg,NONE,accusative
hueh1236-ta-3pl-s-a-indexing-marker,hueh1236,indexing marker,ta- 3pl S/A,overt,person+number,kung2007tepehua[174-214],HT; DI,3pl.anim,3pl.anim;3pl.inanim;3sg_1pl.excl;3sg_1pl.incl;3sg_2pl,NONE,accusative
hueh1236-v-2-s-a-indexing-marker,hueh1236,indexing marker,[V'] 2 S/A,overt,person,kung2007tepehua[174-214],HT; DI,2pl;2sg,2pl_3pl.anim;2pl_3pl.inanim;2pl_3sg;2sg_1sg;2sg_3pl.anim;2sg_3pl.inanim;2sg_3sg,NONE,accusative
hueh1236-w-1pl-indexing-marker,hueh1236,indexing marker,-w 1pl,overt,person+number,kung2007tepehua[174-214],HT; DI,1pl.excl;1pl.incl,1pl.excl;1pl.incl;1sg_2pl,1pl.excl_2pl;1pl.excl_2sg;1sg_2pl,neutral
hupa1239-ci-3-human-s-a-indexing-marker,hupa1239,indexing marker,č̓ɪ- '3.human.S/A',overt,person+other,golla1970hupa[97-113],AN;AWM,3pl-hum;3sg-hum,3pl-hum_1pl;3pl-hum_1sg;3pl-hum_2pl;3pl-hum_2sg;3pl-hum_3pl-generic;3pl-hum_3pl-hum;3pl-hum_3pl-spec;3pl-hum_3sg-generic;3pl-hum_3sg-hum;3pl-hum_3sg-spec;3sg-hum_1pl;3sg-hum_1sg;3sg-hum_2pl;3sg-hum_2sg;3sg-hum_3pl-generic;3sg-hum_3pl-hum;3sg-hum_3pl-spec;3sg-hum_3sg-generic;3sg-hum_3sg-hum;3sg-hum_3sg-spec,NONE,accusative
hupa1239-indexing-di-y-1pls-a-indexing-marker,hupa1239,indexing marker,indexing dɪ-/y- '1plS/A',overt,person+number,golla1970hupa[97-113],AN;AWM,1pl,1pl_2pl;1pl_2sg;1pl_3pl-generic;1pl_3pl-hum;1pl_3pl-spec;1pl_3sg-generic;1pl_3sg-hum;1pl_3sg-spec,NONE,accusative
hupa1239-indexing-n-y-2sgs-a-indexing-marker,hupa1239,indexing marker,indexing n-/y- '2sgS/A',overt,person+number,golla1970hupa[97-113],AN;AWM,2sg,2sg_1pl;2sg_1sg;2sg_3pl-generic;2sg_3pl-hum;2sg_3pl-spec;2sg_3sg-generic;2sg_3sg-hum;2sg_3sg-spec,NONE,accusative
hupa1239-indexing-ni-2sgp-indexing-marker,hupa1239,indexing marker,indexing nɪ- '2sgP',overt,person+number,golla1970hupa[97-113],AN;AWM,NONE,NONE,2sg_3pl-generic;2sg_3pl-hum;2sg_3pl-spec;2sg_3sg-generic;2sg_3sg-hum;2sg_3sg-spec,accusative
hupa1239-indexing-noh-1-2pp-indexing-marker,hupa1239,indexing marker,indexing noh- '1/2pP',overt,person+number,golla1970hupa[97-113],AN;AWM,NONE,1pl_2pl;1pl_2sg;1pl_3pl-generic;1pl_3pl-hum;1pl_3pl-spec;1pl_3sg-generic;1pl_3sg-hum;1pl_3sg-spec;2pl_1pl;2pl_1sg;2pl_3pl-generic;2pl_3pl-hum;2pl_3pl-spec;2pl_3sg-generic;2pl_3sg-hum;2pl_3sg-spec,NONE,ergative
hupa1239-indexing-oh-2pls-a-indexing-marker,hupa1239,indexing marker,indexing oh- '2plS/A',overt,person+number,golla1970hupa[97-113],AN;AWM,2pl,2pl_1pl;2pl_1sg;2pl_3pl-generic;2pl_3pl-hum;2pl_3pl-spec;2pl_3sg-generic;2pl_3sg-hum;2pl_3sg-spec,NONE,accusative
hupa1239-indexing-w-1sgs-a-indexing-marker,hupa1239,indexing marker,indexing W- '1sgS/A',overt,person+number,golla1970hupa[97-113],AN;AWM,1sg,1sg_2pl;1sg_2sg;1sg_3pl-generic;1sg_3pl-hum;1sg_3pl-spec;1sg_3sg-generic;1sg_3sg-hum;1sg_3sg-spec,NONE,accusative
hupa1239-indexing-wi-1sp-indexing-marker,hupa1239,indexing marker,indexing Wɪ- '1sP',overt,person+number,golla1970hupa[97-113],AN;AWM,NONE,NONE,1sg_2pl;1sg_2sg;1sg_3pl-generic;1sg_3pl-hum;1sg_3pl-spec;1sg_3sg-generic;1sg_3sg-hum;1sg_3sg-spec,accusative
hupa1239-kyi-3-specific-p-indexing-marker,hupa1239,indexing marker,k̓yɪ- '3.specific.P',overt,person+other,golla1970hupa[97-113],AN;AWM,NONE,3pl-spec_1pl;3pl-spec_1sg;3pl-spec_2pl;3pl-spec_2sg;3pl-spec_3pl-generic;3pl-spec_3pl-hum;3pl-spec_3pl-spec;3pl-spec_3sg-generic;3pl-spec_3sg-hum;3pl-spec_3sg-spec;3sg-spec_1pl;3sg-spec_1sg;3sg-spec_2pl;3sg-spec_2sg;3sg-spec_3pl-generic;3sg-spec_3pl-hum;3sg-spec_3pl-spec;3sg-spec_3sg-generic;3sg-spec_3sg-hum;3sg-spec_3sg-spec,NONE,ergative
hupa1239-kyi-3-specific-s-a-indexing-marker,hupa1239,indexing marker,k̓yɪ- '3.specific.S/A',overt,person+other,golla1970hupa[97-113],AN;AWM,3pl-spec;3sg-spec,3pl-spec_1pl;3pl-spec_1sg;3pl-spec_2pl;3pl-spec_2sg;3pl-spec_3pl-generic;3pl-spec_3pl-hum;3pl-spec_3pl-spec;3pl-spec_3sg-generic;3pl-spec_3sg-hum;3pl-spec_3sg-spec;3sg-spec_1pl;3sg-spec_1sg;3sg-spec_2pl;3sg-spec_2sg;3sg-spec_3pl-generic;3sg-spec_3pl-hum;3sg-spec_3pl-spec;3sg-spec_3sg-generic;3sg-spec_3sg-hum;3sg-spec_3sg-spec,NONE,accusative
hupa1239-no-flagging,hupa1239,flagging,NO_FLAGGING,zero,,goddard1905hupa[25-28],AN,any,any,any,neutral
hupa1239-xwi-3-human-p-indexing-marker,hupa1239,indexing marker,xwɪ- '3.human.P',overt,person+other,golla1970hupa[97-113],AN;AWM,NONE,3pl-hum_1pl;3pl-hum_1sg;3pl-hum_2pl;3pl-hum_2sg;3pl-hum_3pl-generic;3pl-hum_3pl-hum;3pl-hum_3pl-spec;3pl-hum_3sg-generic;3pl-hum_3sg-hum;3pl-hum_3sg-spec;3sg-hum_1pl;3sg-hum_1sg;3sg-hum_2pl;3sg-hum_2sg;3sg-hum_3pl-generic;3sg-hum_3pl-hum;3sg-hum_3pl-spec;3sg-hum_3sg-generic;3sg-hum_3sg-hum;3sg-hum_3sg-spec,NONE,ergative
hupa1239-yi-3-generic-s-a-indexing-marker,hupa1239,indexing marker,yɪ- '3.generic.S/A',overt,person+other,golla1970hupa[97-113],AN;AWM,3pl-generic;3sg-generic,3pl-generic_1pl;3pl-generic_1sg;3pl-generic_3pl-generic;3pl-generic_3pl-hum;3pl-generic_3pl-spec;3pl-generic_3sg-generic;3pl-generic_3sg-hum;3pl-generic_3sg-spec;3sg-generic_1pl;3sg-generic_1sg;3sg-generic_3pl-generic;3sg-generic_3pl-hum;3sg-generic_3pl-spec;3sg-generic_3sg-generic;3sg-generic_3sg-hum;3sg-generic_3sg-spec,NONE,accusative
hupd1244-acc-marking-flagging,hupd1244,flagging,ACC marking,overt,,"epps2008hup[159,166,170-172,176]",HT,NONE,NONE,Noun-high;Pro,accusative
hupd1244-no-flagging,hupd1244,flagging,NO_FLAGGING,zero,,"epps2008hup[159,166,170-172,176]",HT,any,any,Noun-low,neutral
hupd1244-role-not-marked,hupd1244,indexing trigger,ROLE_NOT_MARKED,zero,NA,"epps2008hup[285-286,371]",HT,NONE,NONE,NONE,NA
ikpe1245-g-i-1sp-p-indexing-marker,ikpe1245,indexing marker,g-/ɨ- '1Sp/P',overt,person,pacheco2001ikpeng[63-64],MV; DI; AWM,1pl.excl;1sg,NONE,1pl.excl_3pl;1pl.excl_3sg;1sg_3pl;1sg_3sg,ergative
ikpe1245-k-1sa-a-indexing-marker,ikpe1245,indexing marker,k- '1Sa/A',overt,person,pacheco2001ikpeng[63-64],MV; DI; AWM,1pl.excl;1sg,1pl.excl_2pl;1pl.excl_2sg;1sg_2pl;1sg_2sg,NONE,accusative
ikpe1245-kut-1incl-sa-a-indexing-marker,ikpe1245,indexing marker,kut- '1INCL.Sa/A',overt,person,pacheco2001ikpeng[63-64],MV; DI; AWM,1pl.incl,1pl.incl_3pl;1pl.incl_3sg,NONE,accusative
ikpe1245-m-2sa-a-indexing-marker,ikpe1245,indexing marker,m- '2Sa/A',overt,person,pacheco2001ikpeng[63-64],MV; DI; AWM,2pl;2sg,2pl_3pl;2pl_3sg;2sg_3pl;2sg_3sg,NONE,accusative
ikpe1245-no-flagging,ikpe1245,flagging,NO_FLAGGING,zero,,pacheco2001ikpeng[148-151],MV,any,any,any,neutral
ikpe1245-ugw-w-i-1incl-s-p-indexing-marker,ikpe1245,indexing marker,ugw-/(w)ɨ- '1INCL.S/P',overt,person,pacheco2001ikpeng[63-64],MV; DI; AWM,1pl.incl,2pl_1pl.excl;2pl_1sg;2sg_1pl.excl;2sg_1sg,1pl.excl_2pl;1pl.excl_2sg;1pl.incl_3pl;1pl.incl_3sg;1sg_2pl;1sg_2sg,neutral
ikpe1245-w-o-2p-sp-indexing-marker,ikpe1245,indexing marker,w-/o- '2P/Sp',overt,person,pacheco2001ikpeng[63-64],MV; DI; AWM,2pl;2sg,NONE,2pl_3pl;2pl_3sg;2sg_3pl;2sg_3sg,ergative
ikpe1245-y-i-n-t-3p-3sp-indexing-marker,ikpe1245,indexing marker,y-/(i)n-/t- '3P/3Sp',overt,person,pacheco2001ikpeng[63-64],MV; DI; AWM,3pl;3sg,NONE,3pl_1pl.excl;3pl_1sg;3pl_3pl;3pl_3sg;3sg_1pl.excl;3sg_1sg;3sg_3pl;3sg_3sg,ergative
imba1240-acc-marking-ta-flagging,imba1240,flagging,ACC marking -ta,overt,,"peter1985imbabura[102-103,129]",HT,NONE,NONE,any,accusative
imba1240-no-flagging,imba1240,flagging,NO_FLAGGING,zero,,"peter1985imbabura[102-103,129]",HT,any,any,NONE,accusative
imba1240-null-marker,imba1240,indexing marker,NULL_MARKER,zero,person,"peter1985imbabura[103,129,144]",HT,3,3,NONE,accusative
imba1240-role-not-marked,imba1240,indexing trigger,ROLE_NOT_MARKED,zero,NA,"peter1985imbabura[103,129,144]",HT,NONE,NONE,any,NA
imba1240-subject-suffixes-indexing-marker,imba1240,indexing marker,subject suffixes,overt,person,"peter1985imbabura[103,129,144]",HT,1;2,1;2,NONE,accusative
imon1245-dom-m-dat-flagging,imon1245,flagging,DOM -m '-DAT',overt,,"seiler1985imonda[138-139,160]",AWM,any,NONE,Noun-high;Pro,ergative
imon1245-indexing-p-du-indexing-marker,imon1245,indexing marker,indexing P du,overt,number,"seiler1985imonda[138-139,160,81-85]",AWM,1du;2du;3du,NONE,1du;2du;3du,ergative
imon1245-indexing-p-pl-indexing-marker,imon1245,indexing marker,indexing P pl,overt,number,"seiler1985imonda[138-139,160,81-85]",AWM,1pl;2pl;3pl,NONE,1pl;2pl;3pl,ergative
imon1245-indexing-s-a-du-indexing-marker,imon1245,indexing marker,indexing S/A du,overt,number,"seiler1985imonda[138-139,160,81-85]",AWM,1du;2du;3du,1du;2du;3du,NONE,accusative
imon1245-indexing-s-a-pl-indexing-marker,imon1245,indexing marker,indexing S/A pl,overt,number,"seiler1985imonda[138-139,160,81-85]",AWM,1pl;2pl;3pl,1pl;2pl;3pl,NONE,accusative
imon1245-no-flagging,imon1245,flagging,NO_FLAGGING,zero,,"seiler1985imonda[138-139,160]",AWM,any,any,Noun-low,neutral
ines1240-no-flagging,ines1240,flagging,NO_FLAGGING,zero,,applegate1972ineseno[303],AWM,any,any,any,neutral
ines1240-role-not-marked,ines1240,indexing trigger,ROLE_NOT_MARKED,zero,NA,applegate1972ineseno[303],AN,NONE,NONE,any,NA
ines1240-s-a-marking-indexing-marker,ines1240,indexing marker,S/A marking,overt,person+number,applegate1972ineseno[303],AN,any,any,NONE,accusative
